Date,Day,RouteId,Line,From,To,Slot,BusMin,WalkingFallbackMin,CarMin,ScrapedDetails,HasScreenshot,ScreenshotPath
2026-09-12,Sat,MC-21,Purple,"Joka","Behala Chowrasta",1:00 PM,14,57,12," | 57 min | 4.1 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-12\1_00_PM\MC-21\metro.jpg"
2026-09-12,Sat,MC-23,Purple,"Behala Chowrasta","Taratala",1:00 PM,8,33,12," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-12\1_00_PM\MC-23\metro.jpg"
2026-09-12,Sat,MC-24,Purple,"Taratala","Majerhat",1:00 PM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-12\1_00_PM\MC-24\metro.jpg"
2026-09-12,Sat,MC-25,Yellow,"Dum Dum Cantonment","Biman Bandar",1:00 PM,36,49,17," | 49 min | 3.5 km | via PK Guha Rd",true,"D:\Traffic\Metro\output\screenshots\2026-09-12\1_00_PM\MC-25\metro.jpg"
2026-09-13,Sun,MC-03,Blue,"Dum Dum","Shyambazar",12:00 AM,12,53,11," | 53 min | 3.8 km | via Belgachia Rd/Khudiram Bose Sarani",true,"D:\Traffic\Metro\output\screenshots\2026-09-13\12_00_AM\MC-03\metro.jpg"
2026-09-13,Sun,MC-03,Blue,"Dum Dum","Shyambazar",1:00 PM,35,53,16," | 53 min | 3.8 km | via Belgachia Rd/Khudiram Bose Sarani",true,"D:\Traffic\Metro\output\screenshots\2026-09-13\1_00_PM\MC-03\metro.jpg"
2026-09-13,Sun,MC-06,Blue,"Dakshineswar","Dum Dum",1:00 PM,24,20,26," | 20 min | 5:28 AM—5:48 AM | 32212 - Dankuni - Sealdah Local   | 5:30 AM from Dakshineswar 10 min late |  7 min | Details",true,"D:\Traffic\Metro\output\screenshots\2026-09-13\1_00_PM\MC-06\metro.jpg"
2026-09-13,Sun,MC-06,Blue,"Dakshineswar","Dum Dum",7:00 PM,24,27,27," | 27 min | 7:16 AM—7:43 AM | 32218 - Dankuni - Sealdah Local   | 7:19 AM from Dakshineswar on time |  8 min | Details",true,"D:\Traffic\Metro\output\screenshots\2026-09-13\7_00_PM\MC-06\metro.jpg"
2026-09-13,Sun,MC-20,Purple,"Behala Chowrasta","Majerhat",1:00 PM,12,51,11," | 51 min | 3.7 km | via NH 12",true,"D:\Traffic\Metro\output\screenshots\2026-09-13\1_00_PM\MC-20\metro.jpg"
2026-09-13,Sun,MC-21,Purple,"Joka","Behala Chowrasta",1:00 PM,14,57,12," | 57 min | 4.1 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-13\1_00_PM\MC-21\metro.jpg"
2026-09-13,Sun,MC-23,Purple,"Behala Chowrasta","Taratala",1:00 PM,8,33,9," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-13\1_00_PM\MC-23\metro.jpg"
2026-09-13,Sun,MC-24,Purple,"Taratala","Majerhat",12:00 AM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-13\12_00_AM\MC-24\metro.jpg"
2026-09-13,Sun,MC-24,Purple,"Taratala","Majerhat",1:00 PM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-13\1_00_PM\MC-24\metro.jpg"
2026-09-13,Sun,MC-25,Yellow,"Dum Dum Cantonment","Biman Bandar",1:00 PM,36,49,12," | 49 min | 3.5 km | via PK Guha Rd",true,"D:\Traffic\Metro\output\screenshots\2026-09-13\1_00_PM\MC-25\metro.jpg"
2026-09-14,Mon,MC-03,Blue,"Dum Dum","Shyambazar",1:00 PM,35,53,16," | 53 min | 3.8 km | via Belgachia Rd/Khudiram Bose Sarani",true,"D:\Traffic\Metro\output\screenshots\2026-09-14\1_00_PM\MC-03\metro.jpg"
