Date,Day,RouteId,Line,From,To,Slot,BusMin,WalkingFallbackMin,CarMin,ScrapedDetails,HasScreenshot,ScreenshotPath
2026-08-30,Sun,MC-23,Purple,"Behala Chowrasta","Taratala",12:00 AM,8,33,6," | 33 min | 2.4 km | via NH 12 | Details | Preview",false,"/home/runner/work/Metro-Traffic-Automation/Metro-Traffic-Automation/output/ss_metro_MC-23_12_00_AM.jpg"
2026-08-30,Sun,MC-24,Purple,"Taratala","Majerhat",12:00 AM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",false,"/home/runner/work/Metro-Traffic-Automation/Metro-Traffic-Automation/output/ss_metro_MC-24_12_00_AM.jpg"
2026-08-31,Mon,MC-06,Blue,"Dakshineswar","Dum Dum",12:00 AM,24,15,17," | 15 min | 5:24 AM (Sunday)—5:39 AM | 32212   | 5:27 AM from Dakshineswar 7 min late |  7 min | Details",true,"D:\Traffic\Metro\output\screenshots\2026-08-31\12_00_AM\MC-06\metro.jpg"
2026-08-31,Mon,MC-20,Purple,"Behala Chowrasta","Majerhat",12:00 AM,12,51,6," | 51 min | 3.7 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-08-31\12_00_AM\MC-20\metro.jpg"
2026-08-31,Mon,MC-23,Purple,"Behala Chowrasta","Taratala",12:00 AM,8,33,4," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-08-31\12_00_AM\MC-23\metro.jpg"
2026-09-01,Tue,MC-03,Blue,"Dum Dum","Shyambazar",1:00 PM,35,53,17," | 53 min | 3.8 km | via Belgachia Rd/Khudiram Bose Sarani",true,"D:\Traffic\Metro\output\screenshots\2026-09-01\1_00_PM\MC-03\metro.jpg"
2026-09-01,Tue,MC-20,Purple,"Behala Chowrasta","Majerhat",12:00 AM,12,51,8," | 51 min | 3.7 km | via NH 12 | Details | Preview",false,"/home/runner/work/Metro-Traffic-Automation/Metro-Traffic-Automation/output/ss_metro_MC-20_12_00_AM.jpg"
2026-09-01,Tue,MC-20,Purple,"Behala Chowrasta","Majerhat",1:00 PM,12,51,11," | 51 min | 3.7 km | via NH 12",true,"D:\Traffic\Metro\output\screenshots\2026-09-01\1_00_PM\MC-20\metro.jpg"
2026-09-01,Tue,MC-21,Purple,"Joka","Behala Chowrasta",1:00 PM,14,57,12," | 57 min | 4.1 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-01\1_00_PM\MC-21\metro.jpg"
2026-09-01,Tue,MC-23,Purple,"Behala Chowrasta","Taratala",1:00 PM,8,33,8," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-01\1_00_PM\MC-23\metro.jpg"
2026-09-01,Tue,MC-24,Purple,"Taratala","Majerhat",12:00 AM,4,18,2," | 18 min | 1.3 km | via NH 12 | Details | Preview",false,"/home/runner/work/Metro-Traffic-Automation/Metro-Traffic-Automation/output/ss_metro_MC-24_12_00_AM.jpg"
2026-09-01,Tue,MC-24,Purple,"Taratala","Majerhat",1:00 PM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-01\1_00_PM\MC-24\metro.jpg"
2026-09-01,Tue,MC-25,Yellow,"Dum Dum Cantonment","Biman Bandar",1:00 PM,36,49,20," | 49 min | 3.5 km | via PK Guha Rd",true,"D:\Traffic\Metro\output\screenshots\2026-09-01\1_00_PM\MC-25\metro.jpg"
2026-09-02,Wed,MC-03,Blue,"Dum Dum","Shyambazar",1:00 PM,35,53,17," | 53 min | 3.8 km | via Belgachia Rd/Khudiram Bose Sarani",true,"D:\Traffic\Metro\output\screenshots\2026-09-02\1_00_PM\MC-03\metro.jpg"
2026-09-02,Wed,MC-20,Purple,"Behala Chowrasta","Majerhat",1:00 PM,12,51,14," | 51 min | 3.7 km | via NH 12",true,"D:\Traffic\Metro\output\screenshots\2026-09-02\1_00_PM\MC-20\metro.jpg"
2026-09-02,Wed,MC-21,Purple,"Joka","Behala Chowrasta",1:00 PM,14,57,12," | 57 min | 4.1 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-02\1_00_PM\MC-21\metro.jpg"
2026-09-02,Wed,MC-23,Purple,"Behala Chowrasta","Taratala",1:00 PM,8,33,15," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-02\1_00_PM\MC-23\metro.jpg"
2026-09-02,Wed,MC-24,Purple,"Taratala","Majerhat",12:00 AM,4,18,2," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-02\12_00_AM\MC-24\metro.jpg"
2026-09-02,Wed,MC-24,Purple,"Taratala","Majerhat",1:00 PM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-02\1_00_PM\MC-24\metro.jpg"
2026-09-02,Wed,MC-25,Yellow,"Dum Dum Cantonment","Biman Bandar",1:00 PM,36,49,21," | 49 min | 3.5 km | via PK Guha Rd",true,"D:\Traffic\Metro\output\screenshots\2026-09-02\1_00_PM\MC-25\metro.jpg"
2026-09-03,Thu,MC-03,Blue,"Dum Dum","Shyambazar",12:00 AM,12,53,12," | 53 min | 3.8 km | via Belgachia Rd/Khudiram Bose Sarani",true,"D:\Traffic\Metro\output\screenshots\2026-09-03\12_00_AM\MC-03\metro.jpg"
2026-09-03,Thu,MC-03,Blue,"Dum Dum","Shyambazar",1:00 PM,35,53,17," | 53 min | 3.8 km | via Belgachia Rd/Khudiram Bose Sarani",true,"D:\Traffic\Metro\output\screenshots\2026-09-03\1_00_PM\MC-03\metro.jpg"
2026-09-03,Thu,MC-20,Purple,"Behala Chowrasta","Majerhat",1:00 PM,12,51,15," | 51 min | 3.7 km | via NH 12",true,"D:\Traffic\Metro\output\screenshots\2026-09-03\1_00_PM\MC-20\metro.jpg"
2026-09-03,Thu,MC-21,Purple,"Joka","Behala Chowrasta",1:00 PM,14,57,12," | 57 min | 4.1 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-03\1_00_PM\MC-21\metro.jpg"
2026-09-03,Thu,MC-23,Purple,"Behala Chowrasta","Taratala",1:00 PM,8,33,8," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-03\1_00_PM\MC-23\metro.jpg"
2026-09-03,Thu,MC-24,Purple,"Taratala","Majerhat",1:00 PM,4,18,7," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-03\1_00_PM\MC-24\metro.jpg"
2026-09-03,Thu,MC-25,Yellow,"Dum Dum Cantonment","Biman Bandar",1:00 PM,36,49,19," | 49 min | 3.5 km | via PK Guha Rd",true,"D:\Traffic\Metro\output\screenshots\2026-09-03\1_00_PM\MC-25\metro.jpg"
2026-09-04,Fri,MC-03,Blue,"Dum Dum","Shyambazar",12:00 AM,12,53,12," | 53 min | 3.8 km | via Belgachia Rd/Khudiram Bose Sarani",true,"D:\Traffic\Metro\output\screenshots\2026-09-04\12_00_AM\MC-03\metro.jpg"
2026-09-04,Fri,MC-03,Blue,"Dum Dum","Shyambazar",1:00 PM,35,53,16," | 53 min | 3.8 km | via Belgachia Rd/Khudiram Bose Sarani",true,"D:\Traffic\Metro\output\screenshots\2026-09-04\1_00_PM\MC-03\metro.jpg"
2026-09-04,Fri,MC-06,Blue,"Dakshineswar","Dum Dum",12:00 AM,24,16,17," | 16 min | 12:03 AM (Thursday)—12:19 AM | 32252 - Dankuni - Sealdah Local   | 12:06 AM from Dakshineswar 7 min late |  7 min | Details",true,"D:\Traffic\Metro\output\screenshots\2026-09-04\12_00_AM\MC-06\metro.jpg"
2026-09-04,Fri,MC-20,Purple,"Behala Chowrasta","Majerhat",1:00 PM,12,51,12," | 51 min | 3.7 km | via NH 12",true,"D:\Traffic\Metro\output\screenshots\2026-09-04\1_00_PM\MC-20\metro.jpg"
2026-09-04,Fri,MC-21,Purple,"Joka","Behala Chowrasta",1:00 PM,14,57,11," | 57 min | 4.1 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-04\1_00_PM\MC-21\metro.jpg"
2026-09-04,Fri,MC-23,Purple,"Behala Chowrasta","Taratala",12:00 AM,8,33,7," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-04\12_00_AM\MC-23\metro.jpg"
2026-09-04,Fri,MC-23,Purple,"Behala Chowrasta","Taratala",1:00 PM,8,33,9," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-04\1_00_PM\MC-23\metro.jpg"
2026-09-04,Fri,MC-24,Purple,"Taratala","Majerhat",1:00 PM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-04\1_00_PM\MC-24\metro.jpg"
2026-09-04,Fri,MC-25,Yellow,"Dum Dum Cantonment","Biman Bandar",12:00 AM,24,36,15," | 36 min | 12:32 AM (Thursday)—1:08 AM | 33863   | 12:32 AM from Dum Dum Cantonment 16 min late |  35 min | Details",true,"D:\Traffic\Metro\output\screenshots\2026-09-04\12_00_AM\MC-25\metro.jpg"
2026-09-04,Fri,MC-25,Yellow,"Dum Dum Cantonment","Biman Bandar",1:00 PM,36,49,13," | 49 min | 3.5 km | via PK Guha Rd",true,"D:\Traffic\Metro\output\screenshots\2026-09-04\1_00_PM\MC-25\metro.jpg"
2026-09-05,Sat,MC-03,Blue,"Dum Dum","Shyambazar",1:00 PM,85,53,17," | 53 min | 3.8 km | via Belgachia Rd/Khudiram Bose Sarani",true,"D:\Traffic\Metro\output\screenshots\2026-09-05\1_00_PM\MC-03\metro.jpg"
2026-09-05,Sat,MC-20,Purple,"Behala Chowrasta","Majerhat",1:00 PM,12,51,11," | 51 min | 3.7 km | via NH 12",true,"D:\Traffic\Metro\output\screenshots\2026-09-05\1_00_PM\MC-20\metro.jpg"
2026-09-05,Sat,MC-21,Purple,"Joka","Behala Chowrasta",1:00 PM,14,57,13," | 57 min | 4.1 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-05\1_00_PM\MC-21\metro.jpg"
2026-09-05,Sat,MC-23,Purple,"Behala Chowrasta","Taratala",1:00 PM,8,33,9," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-05\1_00_PM\MC-23\metro.jpg"
2026-09-05,Sat,MC-24,Purple,"Taratala","Majerhat",1:00 PM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-05\1_00_PM\MC-24\metro.jpg"
2026-09-05,Sat,MC-25,Yellow,"Dum Dum Cantonment","Biman Bandar",1:00 PM,36,49,16," | 49 min | 3.5 km | via PK Guha Rd",true,"D:\Traffic\Metro\output\screenshots\2026-09-05\1_00_PM\MC-25\metro.jpg"
2026-09-06,Sun,MC-03,Blue,"Dum Dum","Shyambazar",1:00 PM,35,53,16," | 53 min | 3.8 km | via Belgachia Rd/Khudiram Bose Sarani",true,"D:\Traffic\Metro\output\screenshots\2026-09-06\1_00_PM\MC-03\metro.jpg"
2026-09-06,Sun,MC-06,Blue,"Dakshineswar","Dum Dum",1:00 PM,24,15,24," | 15 min | 5:17 AM—5:32 AM | 32212   | 5:20 AM from Dakshineswar on time |  7 min | Details",true,"D:\Traffic\Metro\output\screenshots\2026-09-06\1_00_PM\MC-06\metro.jpg"
2026-09-06,Sun,MC-06,Blue,"Dakshineswar","Dum Dum",7:00 PM,24,17,26," | 17 min | 7:41 AM—7:58 AM | 32218   | 7:44 AM from Dakshineswar 25 min late |  7 min | Details",true,"D:\Traffic\Metro\output\screenshots\2026-09-06\7_00_PM\MC-06\metro.jpg"
2026-09-06,Sun,MC-20,Purple,"Behala Chowrasta","Majerhat",1:00 PM,12,51,13," | 51 min | 3.7 km | via NH 12",true,"D:\Traffic\Metro\output\screenshots\2026-09-06\1_00_PM\MC-20\metro.jpg"
2026-09-06,Sun,MC-21,Purple,"Joka","Behala Chowrasta",1:00 PM,14,57,11," | 57 min | 4.1 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-06\1_00_PM\MC-21\metro.jpg"
2026-09-06,Sun,MC-23,Purple,"Behala Chowrasta","Taratala",1:00 PM,8,33,11," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-06\1_00_PM\MC-23\metro.jpg"
2026-09-06,Sun,MC-24,Purple,"Taratala","Majerhat",1:00 PM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-06\1_00_PM\MC-24\metro.jpg"
2026-09-06,Sun,MC-25,Yellow,"Dum Dum Cantonment","Biman Bandar",1:00 PM,36,49,13," | 49 min | 3.5 km | via PK Guha Rd",true,"D:\Traffic\Metro\output\screenshots\2026-09-06\1_00_PM\MC-25\metro.jpg"
2026-09-07,Mon,MC-03,Blue,"Dum Dum","Shyambazar",1:00 PM,35,53,18," | 53 min | 3.8 km | via Belgachia Rd/Khudiram Bose Sarani",true,"D:\Traffic\Metro\output\screenshots\2026-09-07\1_00_PM\MC-03\metro.jpg"
2026-09-07,Mon,MC-20,Purple,"Behala Chowrasta","Majerhat",12:00 AM,12,51,8," | 51 min | 3.7 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-07\12_00_AM\MC-20\metro.jpg"
2026-09-07,Mon,MC-20,Purple,"Behala Chowrasta","Majerhat",1:00 PM,12,51,13," | 51 min | 3.7 km | via NH 12",true,"D:\Traffic\Metro\output\screenshots\2026-09-07\1_00_PM\MC-20\metro.jpg"
2026-09-07,Mon,MC-21,Purple,"Joka","Behala Chowrasta",1:00 PM,14,57,12," | 57 min | 4.1 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-07\1_00_PM\MC-21\metro.jpg"
2026-09-07,Mon,MC-23,Purple,"Behala Chowrasta","Taratala",1:00 PM,8,33,9," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-07\1_00_PM\MC-23\metro.jpg"
2026-09-07,Mon,MC-24,Purple,"Taratala","Majerhat",12:00 AM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-07\12_00_AM\MC-24\metro.jpg"
2026-09-07,Mon,MC-24,Purple,"Taratala","Majerhat",1:00 PM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-07\1_00_PM\MC-24\metro.jpg"
2026-09-07,Mon,MC-25,Yellow,"Dum Dum Cantonment","Biman Bandar",1:00 PM,36,49,17," | 49 min | 3.5 km | via PK Guha Rd",true,"D:\Traffic\Metro\output\screenshots\2026-09-07\1_00_PM\MC-25\metro.jpg"
2026-09-08,Tue,MC-03,Blue,"Dum Dum","Shyambazar",1:00 PM,35,53,17," | 53 min | 3.8 km | via Belgachia Rd/Khudiram Bose Sarani",true,"D:\Traffic\Metro\output\screenshots\2026-09-08\1_00_PM\MC-03\metro.jpg"
2026-09-08,Tue,MC-20,Purple,"Behala Chowrasta","Majerhat",1:00 PM,12,51,11," | 51 min | 3.7 km | via NH 12",true,"D:\Traffic\Metro\output\screenshots\2026-09-08\1_00_PM\MC-20\metro.jpg"
2026-09-08,Tue,MC-21,Purple,"Joka","Behala Chowrasta",1:00 PM,14,57,12," | 57 min | 4.1 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-08\1_00_PM\MC-21\metro.jpg"
2026-09-08,Tue,MC-23,Purple,"Behala Chowrasta","Taratala",1:00 PM,8,33,9," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-08\1_00_PM\MC-23\metro.jpg"
2026-09-08,Tue,MC-24,Purple,"Taratala","Majerhat",1:00 PM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-08\1_00_PM\MC-24\metro.jpg"
2026-09-08,Tue,MC-25,Yellow,"Dum Dum Cantonment","Biman Bandar",1:00 PM,36,49,15," | 49 min | 3.5 km | via PK Guha Rd",true,"D:\Traffic\Metro\output\screenshots\2026-09-08\1_00_PM\MC-25\metro.jpg"
